Ng,Np,seed,n_epochs,rnn_type,optimizer,activation,batch_size,initializer,is_periodic,weight_decay,bin_side_in_m,learning_rate,place_cell_rf,box_width_in_m,surround_scale,box_height_in_m,readout_dropout,sequence_length,place_field_loss,recurrent_dropout,place_field_values,n_grad_steps_per_epoch,n_place_fields_per_cell,place_field_normalization,State,Sweep,run_id,run_name,two_NN,_runtime,input_matrix_norm,participation_ratio,method_of_moments_ID,_wandb,_step,_timestamp,pos_decoding_err,recurrent_matrix_norm,loss,bias_norm
4096,512,2,10,RNN,adam,linear,200,glorot_normal,False,0.0001,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,vx9l0icd,smart-sweep-54,5.211234111915421,3901.0,2480.333984375,4.0,3.4155726432800293,{'runtime': 3903},10.0,1652849008.0,4.617000371217728,72.53166198730469,3.1098756790161133,
4096,512,2,10,RNN,adam,linear,200,glorot_normal,False,0.0,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,o5ogvvu4,sweepy-sweep-53,5.457395964695729,4020.0,3094.302001953125,5.0,5.510875701904297,{'runtime': 4021},10.0,1652845085.0,4.4509779661893845,4879.6435546875,3.0991272926330566,
4096,512,1,10,RNN,adam,linear,200,glorot_normal,False,0.0001,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,nbtv4f71,firm-sweep-52,5.1158361052915255,10567.0,2425.5732421875,4.0,3.537940502166748,{'runtime': 10569},10.0,1652849293.0,4.819127917289734,71.60484313964844,3.0979905128479004,
4096,512,1,10,RNN,adam,linear,200,glorot_normal,False,0.0,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,rkxw6n1m,stoic-sweep-51,4.719546709430053,4616.0,2879.41259765625,8.0,8.897246360778809,{'runtime': 4617},10.0,1652841039.0,6.337421387434006,4887.6416015625,3.1640658378601074,
4096,512,0,10,RNN,adam,linear,200,glorot_normal,False,0.0001,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,rynyhobu,tough-sweep-50,5.247314563463872,5204.0,2433.88818359375,4.0,3.551163673400879,{'runtime': 5205},10.0,1652836403.0,4.228464886546135,72.01515197753906,3.124675035476685,
4096,512,0,10,RNN,adam,linear,200,glorot_normal,False,0.0,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,ibj2k2d6,winter-sweep-49,4.104279747580938,10593.0,3060.40380859375,15.0,9.527334213256836,{'runtime': 10594},10.0,1652838706.0,22.29745239019394,4886.51708984375,6.3147454261779785,
4096,512,2,10,GRU,adam,linear,200,glorot_uniform,False,0.0001,0.05,0.0001,0.2,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,cffzazsv,ancient-sweep-48,1.9134236651572756,9469.0,17138.814453125,1.0,1.9331374168395996,{'runtime': 9474},10.0,1652831178.0,4.317142441868782,2.2550809383392334,3.9944381713867183,504.3153381347656
4096,512,2,10,GRU,adam,linear,200,glorot_uniform,False,0.0,0.05,0.0001,0.2,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,5ezmqupo,restful-sweep-47,2.327845239093841,33331.0,10888.82421875,2.0,2.2171571254730225,{'runtime': 33334},10.0,1652854869.0,4.2965225875377655,16141.45703125,3.9942357540130615,22.90831184387207
4096,512,1,10,GRU,adam,linear,200,glorot_uniform,False,0.0001,0.05,0.0001,0.2,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,qxvewde5,golden-sweep-46,2.018013339894926,53822.0,12370.802734375,2.0,1.8603148460388184,{'runtime': 53827},10.0,1652875244.0,4.61750254034996,4.571394443511963,4.009637355804443,591.1763305664062
4096,512,1,10,GRU,adam,linear,200,glorot_uniform,False,0.0,0.05,0.0001,0.2,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,l30fnpa0,zesty-sweep-45,2.2574719770634246,62916.0,10087.0244140625,2.0,2.217258930206299,{'runtime': 62921},10.0,1652877930.0,4.653361067175865,16427.28515625,4.00924825668335,23.011781692504883
